,firsts,lasts,lifespans,mentions
ܐܝܕܪܝܘܡܗܢܐ,950.0,950.0,0.0,1
ܐܝܗܡܘܢܝ,950.0,950.0,0.0,2
ܐܝܗܪܐ,350.0,950.0,600.0,2
ܐܝܗܪܒܘܛܐܢܝ,950.0,950.0,0.0,1
ܐܝܘ,325.0,1950.0,1625.0,661
ܐܝܘܕܘܦܘܣ,950.0,950.0,0.0,1
ܐܝܘܛܘ,950.0,950.0,0.0,4
ܐܝܘܛܘܢ,950.0,950.0,0.0,1
ܐܝܘܟܐܬܝܛܘ,950.0,950.0,0.0,1
ܐܝܘܟܝ,950.0,950.0,0.0,3
ܐܝܘܟܝܢ,950.0,950.0,0.0,1
ܐܝܘܟܝܢܐ,950.0,950.0,0.0,1
ܐܝܘܠܐܟܘܣ,950.0,950.0,0.0,1
ܐܝܘܠܒܢܛܛܝܣ,950.0,950.0,0.0,1
ܐܝܘܠܝ,950.0,1250.0,300.0,13
ܐܝܘܠܝܣܬܝܣܗܛܗ,950.0,950.0,0.0,1
ܐܝܘܡܝܘܢ,950.0,950.0,0.0,1
ܐܝܘܢ,475.0,1950.0,1475.0,101
ܐܝܘܣܛܗܪܝܣܗܐܝ,950.0,950.0,0.0,1
ܐܝܘܣܛܘܣ,950.0,950.0,0.0,1
ܐܝܘܦܐܐܝܛܘ,950.0,950.0,0.0,1
ܐܝܘܦܗܡܢܝܐ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܐܣܦܝܣܛܝܣ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܒܝܣܐܘܡܗ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܗܕܝܘܢܐܡܘܣ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܘܪܐܣܝܣܬܗ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܣܐ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܬܝܛܝܩܝ,950.0,950.0,0.0,1
ܐܝܘܦܘܣܛܐܣܝܣ,950.0,950.0,0.0,1
ܐܝܘܦܘܣܛܝܩܝܗܛܗ,950.0,950.0,0.0,1
ܐܝܘܦܣܘܣ,950.0,950.0,0.0,1
ܐܝܘܦܣܘܬܝܛܘ,950.0,950.0,0.0,1
ܐܝܘܦܣܠܝܘܢ,950.0,950.0,0.0,1
ܐܝܘܩܪܛܠܝܐ,950.0,950.0,0.0,1
ܐܝܛܐ,350.0,1525.0,1175.0,268
ܐܝܛܐܠܐܟܝܐ,950.0,950.0,0.0,1
ܐܝܛܐܠܘܣ,350.0,350.0,0.0,4
ܐܝܛܐܠܝܩܝ,950.0,1250.0,300.0,9
ܐܝܛܘ,950.0,950.0,0.0,2
ܐܝܛܘܡܐ,950.0,950.0,0.0,1
ܐܝܛܝܐܛܝܩܝ,950.0,950.0,0.0,1
ܐܝܛܝܣܐܝ,950.0,950.0,0.0,1
ܐܝܛܝܪܝܘܢ,950.0,950.0,0.0,1
ܐܝܛܪܘܣ,950.0,950.0,0.0,3
ܐܝܛܪܝܢ,950.0,950.0,0.0,1
ܐܝܟܘܣ,525.0,950.0,425.0,4
ܐܝܟܘܣܐ,950.0,950.0,0.0,4
ܐܝܟܝܣܐܢ,950.0,950.0,0.0,1
ܐܝܟܡܐܠܠܝܣܣܝܐ,950.0,950.0,0.0,1
ܐܝܟܣܗܐܝ,950.0,950.0,0.0,1
ܐܝܟܣܘܛܝܣ,950.0,950.0,0.0,1
ܐܝܟܣܘܣ,950.0,950.0,0.0,1
ܐܝܟܪܗܐܝܘܬܝܣܐܢ,950.0,950.0,0.0,1
ܐܝܟܬܝܘܣ,950.0,950.0,0.0,1
ܐܝܠܐܘܣ,500.0,1500.0,1000.0,2
ܐܝܠܐܢܝܢܘܦܪܣܝܣ,950.0,950.0,0.0,1
ܐܝܠܐܣܝܢܝ,950.0,950.0,0.0,1
ܐܝܠܐܪܗܘܢܗ,950.0,950.0,0.0,1
ܐܝܠܐܪܝܐ,350.0,950.0,600.0,5
ܐܝܠܗܩܛܪܘܢ,950.0,1250.0,300.0,2
ܐܝܠܘܣ,550.0,950.0,400.0,5
ܐܝܠܛܪܝܢ,425.0,425.0,0.0,1
ܐܝܠܝܐܝܡܘܢ,950.0,950.0,0.0,1
ܐܝܠܝܘܛܪܘܦܝܘܢ,950.0,950.0,0.0,2
ܐܝܠܝܘܢ,650.0,775.0,125.0,4
ܐܝܠܝܘܣܛܝܛܐܢ,950.0,950.0,0.0,1
ܐܝܠܝܣܘܢ,950.0,950.0,0.0,1
ܐܝܠܝܣܝܐܣ,950.0,950.0,0.0,1
ܐܝܠܝܦܘܣ,950.0,950.0,0.0,1
ܐܝܠܝܬܪܘܣ,950.0,950.0,0.0,1
ܐܝܠܡܛܐ,518.0,518.0,0.0,1
ܐܝܠܢܝܐ,950.0,950.0,0.0,1
ܐܝܠܬܐ,350.0,1375.0,1025.0,38
ܐܝܠܬܘܢ,950.0,950.0,0.0,2
ܐܝܡܐ,350.0,1234.0,884.0,47
ܐܝܡܐܘܣ,950.0,950.0,0.0,1
ܐܝܡܐܛܝܘܢ,950.0,950.0,0.0,1
ܐܝܡܐܣ,950.0,950.0,0.0,1
ܐܝܡܒܐܝܦܝܣܝܢ,950.0,950.0,0.0,1
ܐܝܡܗܪܐ,950.0,950.0,0.0,4
ܐܝܡܗܪܐܘܣ,950.0,950.0,0.0,1
ܐܝܡܘܡܐܪܬܘܢ,950.0,950.0,0.0,1
ܐܝܡܘܢ,950.0,950.0,0.0,5
ܐܝܡܘܣ,950.0,950.0,0.0,2
ܐܝܡܛܛܘܣܐܘܣ,950.0,950.0,0.0,1
ܐܝܡܛܪܝܛܐܘܣ,950.0,950.0,0.0,1
ܐܝܡܝ,500.0,950.0,450.0,7
ܐܝܡܝܘܢܐܡܝ,950.0,950.0,0.0,1
ܐܝܡܝܘܢܘܣ,950.0,950.0,0.0,1
ܐܝܡܝܘܣ,950.0,950.0,0.0,1
ܐܝܡܝܛܐ,950.0,950.0,0.0,1
ܐܝܡܝܢ,588.0,950.0,362.0,5
ܐܝܡܝܣܗܐܢܘܣܘܩܝ,950.0,950.0,0.0,1
ܐܝܡܝܣܘ,950.0,950.0,0.0,1
ܐܝܡܝܬܗܐܘܣ,950.0,950.0,0.0,1
ܐܝܡܦܠܓܐ,950.0,950.0,0.0,1
ܐܝܢܐܘܢ,950.0,950.0,0.0,1
ܐܝܢܐܛܝ,950.0,950.0,0.0,1
ܐܝܢܕܘܣ,1250.0,1250.0,0.0,3
ܐܝܢܕܝܩܘܢ,950.0,950.0,0.0,1
ܐܝܢܗܣ,950.0,1250.0,300.0,12
ܐܝܢܗܣܝܣ,950.0,950.0,0.0,1
ܐܝܢܘܟܣܐܢ,950.0,950.0,0.0,1
ܐܝܢܘܣ,500.0,950.0,450.0,6
ܐܝܢܟܘܣ,724.0,1025.0,301.0,7
ܐܝܣܐܛܝܣ,950.0,950.0,0.0,3
ܐܝܣܐܢ,950.0,950.0,0.0,1
ܐܝܣܓܘܓܝ,850.0,850.0,0.0,1
ܐܝܣܘ,375.0,1250.0,875.0,16
ܐܝܣܘܓܝܢ,950.0,950.0,0.0,1
ܐܝܣܘܣܩܘܠܝܣ,950.0,950.0,0.0,1
ܐܝܣܘܦܩܝܘܟܘܣ,950.0,950.0,0.0,1
ܐܝܣܛܘܢ,950.0,950.0,0.0,1
ܐܝܣܛܝܣܦܘܠܝܣ,950.0,950.0,0.0,1
ܐܝܣܝܘܟܐ,950.0,950.0,0.0,1
ܐܝܣܝܟܝܘܣ,950.0,950.0,0.0,1
ܐܝܣܝܡܗܪܐ,950.0,950.0,0.0,1
ܐܝܣܝܡܗܪܘܣ,1250.0,1250.0,0.0,4
ܐܝܣܝܣ,525.0,1250.0,725.0,4
ܐܝܣܝܣܛܪܝܢ,950.0,950.0,0.0,1
ܐܝܣܟܐܠܗܢ,950.0,950.0,0.0,1
ܐܝܣܦܘܢ,350.0,850.0,500.0,7
ܐܝܣܩܘܢܬܗܢܝܣܐܢ,950.0,950.0,0.0,1
ܐܝܣܩܝܪܘܣ,950.0,950.0,0.0,2
ܐܝܣܪܐ,350.0,1234.0,884.0,40
ܐܝܣܪܝܩܐ,950.0,950.0,0.0,1
ܐܝܣܬܐ,950.0,950.0,0.0,1
ܐܝܦܐܛܘ,950.0,950.0,0.0,1
ܐܝܦܐܪ,950.0,950.0,0.0,1
ܐܝܦܘܓܪܦܝ,950.0,950.0,0.0,1
ܐܝܦܘܕܝܟܣܝܣ,950.0,950.0,0.0,1
ܐܝܦܘܕܝܩܛܝܩܝ,950.0,950.0,0.0,1
ܐܝܦܘܠܝܘܣ,675.0,950.0,275.0,2
ܐܝܦܘܣ,950.0,950.0,0.0,1
ܐܝܦܘܣܛܐܣܝܣ,950.0,950.0,0.0,1
ܐܝܦܘܣܛܘܠܝܢ,950.0,950.0,0.0,1
ܐܝܦܘܣܛܘܠܝܩܐܝܬ,950.0,950.0,0.0,1
ܐܝܦܘܣܡܐ,950.0,950.0,0.0,1
ܐܝܦܘܦܘܐܘܢ,950.0,950.0,0.0,1
ܐܝܦܘܦܝܕܪܝܩܘܢ,950.0,950.0,0.0,1
ܐܝܦܘܩܡܘܢ,950.0,950.0,0.0,1
ܐܝܦܘܩܪܐܛܝܣ,850.0,1250.0,400.0,8
ܐܝܦܘܪܐ,825.0,950.0,125.0,2
ܐܝܦܘܪܝܣ,950.0,950.0,0.0,1
ܐܝܦܝܐܠܘܣ,950.0,950.0,0.0,1
ܐܝܦܝܩܝܣܛܘܣ,950.0,950.0,0.0,1
ܐܝܦܝܬܛܝܐ,950.0,950.0,0.0,1
ܐܝܦܣܝܣܛܘܣ,950.0,950.0,0.0,1
ܐܝܦܣܩܡܝܐ,950.0,950.0,0.0,1
ܐܝܦܦܐܩܝ,950.0,950.0,0.0,1
ܐܝܦܦܘܣ,950.0,950.0,0.0,1
ܐܝܦܦܘܦܗܣܛܘܢ,950.0,950.0,0.0,1
ܐܝܦܦܘܩܪܐܛܝܣ,850.0,1250.0,400.0,5
ܐܝܦܦܘܪܝܣ,950.0,950.0,0.0,2
ܐܝܦܦܝܐܛܪܘܣ,950.0,950.0,0.0,1
ܐܝܦܪܘܢ,950.0,950.0,0.0,1
ܐܝܦܪܝܦܢܝܐ,950.0,950.0,0.0,1
ܐܝܩܐ,325.0,1300.0,975.0,213
ܐܝܩܗܛܝܣ,950.0,950.0,0.0,1
ܐܝܩܝ,450.0,1250.0,800.0,73
ܐܝܩܠܐ,500.0,950.0,450.0,8
ܐܝܩܢܘܡܝܩܘܢ,950.0,950.0,0.0,1
ܐܝܩܣܛܘܢ,500.0,500.0,0.0,1
ܐܝܩܪܡܢܘܢ,950.0,950.0,0.0,1
ܐܝܪ,350.0,1957.0,1607.0,659
ܐܝܪܐ,350.0,2006.0,1656.0,104
ܐܝܪܐܛܝܘܢ,1250.0,1250.0,0.0,2
ܐܝܪܐܝܢ,950.0,950.0,0.0,1
ܐܝܪܐܢܐ,1234.0,1234.0,0.0,2
ܐܝܪܐܦܘܠܝܣ,724.0,724.0,0.0,1
ܐܝܪܐܩܠܝܐ,950.0,950.0,0.0,1
ܐܝܪܐܩܠܝܣ,375.0,1234.0,859.0,17
ܐܝܪܓܘܢܐ,675.0,675.0,0.0,1
ܐܝܪܘܕܝܣ,350.0,1250.0,900.0,317
ܐܝܪܘܢ,675.0,1234.0,559.0,9
ܐܝܪܘܢܝ,675.0,950.0,275.0,3
ܐܝܪܘܣ,950.0,950.0,0.0,1
ܐܝܪܝܢܝܩܘܣ,775.0,950.0,175.0,2
ܐܝܪܝܣ,701.0,950.0,249.0,3
ܐܝܪܟܣܐܡܝܢ,950.0,950.0,0.0,1
ܐܝܪܢܐܘܣ,450.0,675.0,225.0,17
ܐܝܬܝܩܘܣ,701.0,950.0,249.0,3
ܐܟܐܝܐ,425.0,1300.0,875.0,30
ܐܟܐܝܩܘܣ,950.0,950.0,0.0,1
ܐܟܕܢܐ,325.0,1907.0,1582.0,229
ܐܟܘܠܬܐ,450.0,1250.0,800.0,15
ܐܟܘܪ,675.0,1025.0,350.0,5
ܐܟܘܪܘܢ,950.0,950.0,0.0,1
ܐܟܘܪܘܣ,950.0,950.0,0.0,1
ܐܟܝܘܣ,675.0,675.0,0.0,1
ܐܟܝܢܘܣ,675.0,675.0,0.0,1
ܐܟܝܪܦܘܐܛ,575.0,575.0,0.0,2
ܐܟܠܘܣ,350.0,1693.0,1343.0,54
ܐܟܣܘܓܐܠܐ,950.0,950.0,0.0,1
ܐܟܣܘܟܘܠܘܣ,950.0,950.0,0.0,1
ܐܟܣܘܢ,500.0,500.0,0.0,1
ܐܟܣܘܢܓܝܢ,950.0,950.0,0.0,3
ܐܟܣܘܢܕܟܘܣ,950.0,950.0,0.0,1
ܐܟܣܘܣ,950.0,950.0,0.0,1
ܐܟܣܘܪܝܐ,375.0,1250.0,875.0,431
ܐܟܣܝܛܝܪܝܘܢ,375.0,375.0,0.0,1
ܐܟܣܝܢܝ,450.0,950.0,500.0,2
ܐܟܣܝܣ,550.0,1250.0,700.0,10
ܐܟܣܝܣܘܛܝܣ,950.0,950.0,0.0,1
ܐܟܣܝܣܝܐ,1994.0,1994.0,0.0,1
ܐܟܣܢܝܐ,125.0,1994.0,1869.0,1196
ܐܟܣܪܟܐ,575.0,675.0,100.0,4
ܐܟܪܘܬܐ,350.0,1375.0,1025.0,41
ܐܠܓܐ,950.0,950.0,0.0,1
ܐܠܗܩܛܘܪܘܣ,950.0,950.0,0.0,1
ܐܠܘܡܘܣ,850.0,1150.0,300.0,6
ܐܠܘܡܦܘܣ,575.0,1250.0,675.0,4
ܐܠܘܣܘܢ,950.0,950.0,0.0,1
ܐܠܘܦܝܐܣ,950.0,950.0,0.0,1
ܐܠܘܪܘܣ,575.0,950.0,375.0,6
ܐܠܘܪܝܩܘܢ,400.0,1250.0,850.0,13
ܐܠܛܐ,1025.0,1025.0,0.0,8
ܐܠܝܕܝܘܣ,775.0,775.0,0.0,2
ܐܠܝܘܕ,325.0,1250.0,925.0,26
ܐܠܝܛܐ,525.0,950.0,425.0,8
ܐܠܝܛܪܝܘܢ,950.0,950.0,0.0,1
ܐܠܝܠܘܬܐ,850.0,950.0,100.0,2
ܐܠܝܡܐ,950.0,950.0,0.0,2
ܐܠܝܢܘܣ,950.0,1150.0,200.0,5
ܐܠܝܣܝܪܝܩܐ,675.0,675.0,0.0,1
ܐܠܝܩܐܩܐܒܘܢ,950.0,950.0,0.0,1
ܐܠܝܩܛܪܘܢ,375.0,950.0,575.0,5
ܐܠܟܣܢܕܪܝܐ,350.0,1950.0,1600.0,1490
ܐܠܠܘܛܪܝܘܢ,950.0,950.0,0.0,1
ܐܠܡܐ,350.0,1994.0,1644.0,29
ܐܠܢܘܣ,125.0,125.0,0.0,2
ܐܠܢܝܐ,450.0,1375.0,925.0,61
ܐܠܦܝܘܣ,375.0,701.0,326.0,13
ܐܠܨܘܬܐ,450.0,1500.0,1050.0,6
ܐܠܨܝܐ,525.0,2006.0,1481.0,130
ܐܠܩܐܘܢ,950.0,950.0,0.0,1
ܐܠܩܗܐܐ,950.0,950.0,0.0,1
ܐܠܩܘܣܡܐ,950.0,950.0,0.0,1
ܐܡܒܠܘܐܘܦܝܐ,950.0,950.0,0.0,1
ܐܡܒܪ,500.0,950.0,450.0,3
ܐܡܘܓܕܐܠܝܢܘܢ,950.0,950.0,0.0,1
ܐܡܘܕܪܝܐܣܝܣ,950.0,950.0,0.0,2
ܐܡܘܡܘܢ,950.0,950.0,0.0,1
ܐܡܘܡܘܣ,950.0,950.0,0.0,1
ܐܡܘܢ,325.0,1994.0,1669.0,342
ܐܡܘܢܝܩܘܢ,950.0,950.0,0.0,2
ܐܡܝܢ,350.0,1850.0,1500.0,212
ܐܡܝܢܝ,325.0,1950.0,1625.0,236
ܐܡܝܣ,950.0,950.0,0.0,3
ܐܡܦܝܩܘܪܛܘܣ,950.0,950.0,0.0,1
ܐܡܦܪܟܐ,575.0,575.0,0.0,2
ܐܡܪܘܣ,519.0,1500.0,981.0,4
ܐܡܪܛܝܐ,950.0,950.0,0.0,1
ܐܡܪܟܐ,350.0,1886.0,1536.0,4
ܐܡܬܝܐ,575.0,575.0,0.0,2
ܐܢܐܒܝܒܙܘܢ,950.0,950.0,0.0,1
ܐܢܐܒܣܝܣ,950.0,950.0,0.0,2
ܐܢܐܓܢܘܣܛܘܣ,950.0,950.0,0.0,1
ܐܢܐܛܘܡܐ,950.0,950.0,0.0,1
ܐܢܐܠܐܒܝܢ,950.0,950.0,0.0,1
ܐܢܐܠܘܓܘܢ,950.0,950.0,0.0,1
ܐܢܐܠܘܓܝܣܛܝܩܘܣ,950.0,950.0,0.0,1
ܐܢܐܠܘܡܛܐ,950.0,950.0,0.0,1
ܐܢܐܦܘܪܗ,950.0,950.0,0.0,1
ܐܢܐܦܘܪܝܩܘܢ,950.0,950.0,0.0,1
ܐܢܐܦܣܝܘܣ,950.0,950.0,0.0,1
ܐܢܐܩܐܢܝܣܬܝܣܗܛܐ,950.0,950.0,0.0,1
ܐܢܐܪܝܢ,950.0,950.0,0.0,1
ܐܢܐܪܟܘܣ,950.0,950.0,0.0,1
ܐܢܓܓܗܐܝܠܐܛܗ,950.0,950.0,0.0,1
ܐܢܓܠܝܐ,950.0,950.0,0.0,1
ܐܢܓܠܝܕܘܣ,950.0,950.0,0.0,1
ܐܢܕܪܘܢܝܩܘܣ,350.0,1234.0,884.0,139
ܐܢܗܒܝ,950.0,950.0,0.0,1
ܐܢܗܛܪܐܦܝܢ,950.0,950.0,0.0,1
ܐܢܗܡܘܢܗ,950.0,950.0,0.0,1
ܐܢܗܡܘܣ,950.0,950.0,0.0,1
ܐܢܗܩܐܠܝܘܦܬܝ,950.0,950.0,0.0,1
ܐܢܗܪܘܣܡܐܛܐ,950.0,950.0,0.0,1
ܐܢܘܓܘܢ,950.0,950.0,0.0,1
ܐܢܘܛܝܩܘܢ,525.0,846.0,321.0,5
ܐܢܘܢܐ,500.0,950.0,450.0,7
ܐܢܛܘܒܝܐ,950.0,1250.0,300.0,3
ܐܢܛܘܟܣܝܣ,575.0,575.0,0.0,2
ܐܢܛܘܠܘܟܝܐ,950.0,950.0,0.0,1
ܐܢܛܘܠܝܩܘܢ,450.0,950.0,500.0,11
ܐܢܛܝܓܘܢܘܣ,665.0,1025.0,360.0,10
ܐܢܛܝܓܪܦܘܢ,450.0,450.0,0.0,10
ܐܢܛܝܠܘܓܝܐ,950.0,950.0,0.0,1
ܐܢܛܝܣܛܝܪܝܓܡܐ,950.0,950.0,0.0,1
ܐܢܛܝܦܐܬܝܐ,1234.0,1234.0,0.0,2
ܐܢܛܝܦܛܪܘܣ,650.0,1150.0,500.0,47
ܐܢܛܝܦܣܝܣ,650.0,1500.0,850.0,16
ܐܢܛܝܩܢܝܡܘܢ,950.0,950.0,0.0,1
ܐܢܛܝܩܣܪ,575.0,750.0,175.0,12
ܐܢܛܠܐ,550.0,560.0,10.0,3
ܐܢܛܠܘܣ,425.0,500.0,75.0,3
ܐܢܛܠܝܛܝܩܘܢ,850.0,1225.0,375.0,4
ܐܢܛܪܘܢ,950.0,950.0,0.0,1
ܐܢܛܪܛܐ,588.0,588.0,0.0,1
ܐܢܛܪܣܝܐ,575.0,950.0,375.0,3
ܐܢܛܪܦܣܐ,450.0,450.0,0.0,1
ܐܢܝܘܣ,525.0,1234.0,709.0,39
ܐܢܝܡܘܢܝ,950.0,950.0,0.0,1
ܐܢܝܬܝܢܘܢ,950.0,950.0,0.0,1
ܐܢܟܘܣܐ,950.0,1250.0,300.0,4
ܐܢܟܪܝܣܛܢܘܛܝܢܐ,575.0,575.0,0.0,2
ܐܢܢܩܐ,125.0,1907.0,1782.0,1028
ܐܢܢܩܝܐ,350.0,1907.0,1557.0,64
ܐܢܣܛܐܣܝܣ,701.0,950.0,249.0,7
ܐܢܦܪܐ,575.0,950.0,375.0,7
ܐܢܩܘܣ,950.0,1025.0,75.0,3
ܐܢܩܘܩܠܝܐ,575.0,950.0,375.0,55
ܐܢܩܘܩܠܝܘܢ,500.0,950.0,450.0,31
ܐܢܩܘܪܐ,400.0,1250.0,850.0,46
ܐܢܩܛܘܣ,846.0,950.0,104.0,2
ܐܢܩܝܦܘܠܘܣ,950.0,950.0,0.0,1
ܐܢܪܘܛܝܣܝܣ,950.0,950.0,0.0,1
ܐܢܪܟܘܣ,950.0,950.0,0.0,1
ܐܢܬܘܦܛܘܣ,575.0,1500.0,925.0,18
ܐܢܬܝܡܝܣ,575.0,950.0,375.0,2
ܐܢܬܡܝܣ,533.0,950.0,417.0,2
ܐܢܬܪܘܦܘܣ,950.0,950.0,0.0,4
ܐܣܐܪܝܘܢ,950.0,950.0,0.0,1
ܐܣܘܛܐ,325.0,1850.0,1525.0,126
ܐܣܘܛܐܝܬ,350.0,1150.0,800.0,31
ܐܣܘܛܘܬܐ,350.0,1950.0,1600.0,147
ܐܣܘܛܝܐ,430.0,950.0,520.0,5
ܐܣܛܐܢܐ,500.0,500.0,0.0,1
ܐܣܛܐܩܘ,1250.0,1250.0,0.0,3
ܐܣܛܒܠܐ,950.0,1234.0,284.0,5
ܐܣܛܕܐ,450.0,1250.0,800.0,18
ܐܣܛܕܝܘܢ,350.0,1234.0,884.0,51
ܐܣܛܘܐ,375.0,1994.0,1619.0,160
ܐܣܛܘܐܝܩܘ,375.0,1250.0,875.0,10
ܐܣܛܘܟܘܕܘܣ,1250.0,1250.0,0.0,2
ܐܣܛܘܟܝܐ,500.0,950.0,450.0,11
ܐܣܛܘܟܣܐ,125.0,1994.0,1869.0,699
ܐܣܛܘܡܟܐ,450.0,1250.0,800.0,71
ܐܣܛܘܢܐ,325.0,1800.0,1475.0,260
ܐܣܛܘܪܝܩܘܢ,950.0,950.0,0.0,1
ܐܣܛܘܪܟܐ,701.0,1250.0,549.0,22
ܐܣܛܠܐ,350.0,1950.0,1600.0,250
ܐܣܛܣܝܣ,525.0,1525.0,1000.0,52
ܐܣܛܣܝܪܐ,800.0,1225.0,425.0,6
ܐܣܛܦܘܠܝܐ,950.0,950.0,0.0,1
ܐܣܛܦܠܝܢ,850.0,1222.0,372.0,7
ܐܣܛܦܢ,325.0,1800.0,1475.0,247
ܐܣܛܪܐܘܣ,450.0,675.0,225.0,6
ܐܣܛܪܐܛܝܓܐ,950.0,950.0,0.0,1
ܐܣܛܪܘܒܘܠܘܣ,950.0,950.0,0.0,4
ܐܣܛܪܘܠܘܓܘܣ,950.0,950.0,0.0,1
ܐܣܛܪܘܠܘܓܝܐ,400.0,1250.0,850.0,8
ܐܣܛܪܘܢ,950.0,950.0,0.0,2
ܐܣܛܪܛ,350.0,1300.0,950.0,28
ܐܣܛܪܛܝܐ,375.0,1234.0,859.0,33
ܐܣܛܪܛܝܓܐ,450.0,1234.0,784.0,42
ܐܣܛܪܛܝܓܘܬܐ,675.0,950.0,275.0,3
ܐܣܛܪܛܝܘܛܐ,325.0,1850.0,1525.0,136
ܐܣܛܪܢܝܐ,450.0,1222.0,772.0,29
ܐܣܝܕܐ,675.0,950.0,275.0,9
ܐܣܝܢܘ,500.0,775.0,275.0,2
ܐܣܝܪܣ,125.0,125.0,0.0,4
ܐܣܟܘܠܐ,500.0,1222.0,722.0,177
ܐܣܟܝܡܐ,325.0,1994.0,1669.0,840
ܐܣܟܠܪܐ,575.0,575.0,0.0,4
ܐܣܟܡܐ,325.0,1983.0,1658.0,1970
ܐܣܦܐܪܐ,701.0,950.0,249.0,3
ܐܣܦܘܓܐ,350.0,1250.0,900.0,85
ܐܣܦܘܓܢܝܐ,1250.0,1250.0,0.0,1
ܐܣܦܘܩܐ,575.0,575.0,0.0,2
ܐܣܦܘܩܠܛܪܐ,450.0,1800.0,1350.0,36
ܐܣܦܝܢܐ,500.0,1250.0,750.0,8
ܐܣܦܝܪܐ,475.0,1850.0,1375.0,181
ܐܣܦܠܛܘܢ,950.0,950.0,0.0,1
ܐܣܦܠܝܐ,550.0,950.0,400.0,11
ܐܣܦܠܝܢܝܐ,950.0,950.0,0.0,1
ܐܣܦܢܐ,500.0,950.0,450.0,4
ܐܣܦܣ,125.0,1800.0,1675.0,133
ܐܣܦܩܠܝܣ,550.0,1234.0,684.0,3
ܐܣܦܪܐܓܘܣ,950.0,950.0,0.0,1
ܐܣܦܪܛܘܠܐ,450.0,450.0,0.0,1
ܐܣܦܪܝܕܐ,325.0,1250.0,925.0,77
ܐܣܦܬܐ,450.0,950.0,500.0,4
